molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL4076129,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4077430,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4100734,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4068455,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCNC(=O)c2cc3ccccc3[nH]2)C1,intermediate,5000.0
CHEMBL4100322,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4085282,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4095452,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4093477,CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,intermediate,5000.0
CHEMBL4096422,CN(CCCCOc1ccc2c(c1)NC(=O)CC2)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,intermediate,5000.0
CHEMBL3797209,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,active,157.8
CHEMBL4097572,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4076129,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4077430,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4100734,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4068455,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCNC(=O)c2cc3ccccc3[nH]2)C1,active,712.9
CHEMBL4100322,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4085282,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4095452,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4093477,CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,intermediate,5000.0
CHEMBL3797209,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,active,931.1
CHEMBL4097572,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4076129,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCOCCCCc2ccccc2)C1,intermediate,4487.5
CHEMBL4077430,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,4102.0
CHEMBL4100734,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4068455,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCNC(=O)c2cc3ccccc3[nH]2)C1,intermediate,3647.5
CHEMBL4100322,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4085282,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4095452,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4093477,CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,intermediate,2971.7
CHEMBL3797209,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,active,98.9
CHEMBL4097572,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4076129,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCOCCCCc2ccccc2)C1,active,801.7
CHEMBL4077430,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4100734,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCCCCCCCCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4068455,CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCNC(=O)c2cc3ccccc3[nH]2)C1,intermediate,2013.7
CHEMBL4100322,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4085282,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCCCc2ccccc2)C1,intermediate,5000.0
CHEMBL4095452,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCOc2ccc3c(c2)NC(=O)CC3)C1,intermediate,5000.0
CHEMBL4093477,CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,intermediate,4529.0
CHEMBL4102561,Cc1nc2c(O)cccn2c(=O)c1CCN1CCN(c2cccc3sccc23)CC1,active,26.7
CHEMBL4074326,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCC=C2.Cl,active,9.44
CHEMBL4094825,Cc1nc2ccccn2c(=O)c1CCN1CCN(c2cccc3sccc23)CC1,active,3.29
CHEMBL4065710,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2(C)O,active,31.5
CHEMBL4087132,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2(F)F.Cl,active,3.51
CHEMBL4103509,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2=O,active,40.5
CHEMBL4079251,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2Cl,active,5.49
CHEMBL4104261,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2F,active,3.32
CHEMBL4061068,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2(C)O,active,2.4
CHEMBL4062992,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2(F)F,active,5.2
CHEMBL4084663,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2=O,active,7.6
CHEMBL4101115,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2Cl,active,8.29
CHEMBL4074373,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2F,active,7.8
CHEMBL4082150,Cc1ccc(Sc2ccccc2N2CCN(CCc3c(C)nc4n(c3=O)CCCC4O)CC2)c(C)c1.Cl,active,875.0
CHEMBL4100152,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4c3OC(F)(F)O4)CC1)CCCC2O,active,27.0
CHEMBL4077006,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4c3OC(F)(F)O4)CC1)CCCC2.Cl,active,36.6
CHEMBL4064609,Cc1nc2n(c(=O)c1CCN1CCN(c3ncnc4sccc34)CC1)CCCC2O,intermediate,6660.0
CHEMBL4063748,Cc1nc2n(c(=O)c1CCN1CCN(c3ncnc4sccc34)CC1)CCCC2,intermediate,5530.0
CHEMBL4091554,Cc1nc2n(c(=O)c1CCN1CCN(c3cncc4sccc34)CC1)CCCC2O,active,960.0
CHEMBL4097395,Cc1nc2n(c(=O)c1CCN1CCN(c3nccc4sccc34)CC1)CCCC2O,active,20.0
CHEMBL4079365,Cc1nc2n(c(=O)c1CCN1CCN(c3nccc4sccc34)CC1)CCCC2,active,37.6
CHEMBL4105102,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4scnc34)CC1)CCCC2O,inactive,10000.0
CHEMBL4087246,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4c3CCS4)CC1)CCCC2O,active,11.8
CHEMBL4067506,Cc1nc2n(c(=O)c1CCN1CCN(c3csc4ccsc34)CC1)CCCC2O,active,157.0
CHEMBL4094926,Cc1nc2n(c(=O)c1CCN1CCC(c3cccc4sccc34)CC1)CCCC2O,active,75.4
CHEMBL4078409,Cc1nc2n(c(=O)c1CCN1CCC(c3cccc4sccc34)CC1)CCCC2.Cl,active,10.4
CHEMBL4102670,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2O,active,3.31
CHEMBL4083333,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2,active,2.61
CHEMBL4060678,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2O,active,5.1
CHEMBL4098594,Cc1nc2n(c(=O)c1CCN1CCN(c3noc4cc(F)ccc34)CC1)CCCC2O,active,9.65
CHEMBL1621,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,active,8.28
CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,active,7.09
CHEMBL4082084,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2(C)O,active,80.0
CHEMBL4096467,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2(F)F.Cl,active,5.0
CHEMBL4077702,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2=O,active,9.1
CHEMBL4090872,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2Cl,active,2.87
CHEMBL4062936,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2F,active,6.2
CHEMBL4128926,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,active,1.8
CHEMBL4210030,CNC(=O)c1cc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)ccn1,active,59.8
CHEMBL4210637,CCNC(=O)c1cc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)ccn1,active,37.6
CHEMBL4212622,O=C(NC1CC1)c1cc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)ccn1,active,53.5
CHEMBL4213342,CNC(=O)c1cc(OCCCCN2CCN(c3nsc4ccccc34)CC2)ccn1,active,11.4
CHEMBL4217986,NC(=O)c1cc(OCCCCN2CCN(c3nsc4ccccc34)CC2)ccn1,active,42.6
CHEMBL4202871,O=C(NC1CC1)c1cc(OCCCCN2CCN(c3nsc4ccccc34)CC2)ccn1,active,65.2
CHEMBL4214528,CNC(=O)c1cc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)ccn1,active,26.5
CHEMBL4209188,CNC(=O)c1cc(OCCCCN2CCN(c3cccc4sccc34)CC2)ccn1,active,24.0
CHEMBL4217182,CNC(=O)c1cc(OCCCCN2CCN(c3cccc4sc(F)cc34)CC2)ccn1,active,8.0
CHEMBL4213586,CNC(=O)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,active,123.0
CHEMBL4218526,CCNC(=O)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,active,59.0
CHEMBL4217039,O=C(NC1CC1)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,active,42.5
CHEMBL4205326,CNC(=O)c1cncc(OCCCCN2CCN(c3nsc4cc(F)ccc34)CC2)c1,active,85.0
CHEMBL4204832,CNC(=O)c1ccnc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,active,299.0
CHEMBL4209705,CCNC(=O)c1ccnc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,active,65.5
CHEMBL4210128,O=C(NC1CC1)c1ccnc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,active,51.7
CHEMBL4215048,CNC(=O)c1ccnc(OCCCCN2CCN(c3nsc4cc(F)ccc34)CC2)c1,active,89.1
CHEMBL4205772,CNC(=O)c1cccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)n1,active,9.3
CHEMBL4214642,CNC(=O)c1cccc(OCCCCN2CCN(c3nsc4cc(F)ccc34)CC2)n1,active,11.4
CHEMBL4207328,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)n1,active,51.1
CHEMBL4202443,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc4sccc34)CC2)n1,active,86.1
CHEMBL4211473,CNC(=O)c1cccc(OCCCCN2CCN(c3ccc4ccsc4c3)CC2)n1,active,412.0
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,active,32.0
CHEMBL4209888,COc1ccccc1N1CCN(CCCOc2ccc(C)cc2C)CC1.Cl,active,17.7
CHEMBL4213352,COc1ccccc1N1CCN(CCOCCOc2cc(C)cc(C)c2C)CC1.Cl.Cl,active,78.5
CHEMBL4207653,COc1ccccc1N1CCN(CCOCCOc2c(C)cc(C)cc2C)CC1.Cl.Cl,active,82.0
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,active,3.0
CHEMBL4280940,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCC(c2noc3cc(F)ccc23)CC1,active,4.8
CHEMBL4292250,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2ccc3ccsc3c2)CC1,active,80.2
CHEMBL4284346,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,6.1
CHEMBL4277101,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4sccc34)CC1)[C@H]1C=C[C@@H]2C1,active,6.4
CHEMBL4287752,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4scnc34)CC1)[C@H]1C=C[C@@H]2C1,active,9.6
CHEMBL4289238,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4sc(F)cc34)CC1)[C@H]1C=C[C@@H]2C1,active,2.5
CHEMBL4278581,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4ccsc34)CC1)[C@H]1C=C[C@@H]2C1,active,5.3
CHEMBL4285839,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4c3OCCO4)CC1)[C@H]1C=C[C@@H]2C1,active,9.8
CHEMBL4293718,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3cccc4c3OC(F)(F)O4)CC1)[C@H]1C=C[C@@H]2C1,active,2.0
CHEMBL4277532,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3nsc4ccccc34)CC1)[C@H]1C=C[C@@H]2C1,active,4.2
CHEMBL4285479,O=C1[C@@H]2[C@H](C(=O)N1CCN1CCN(c3cccc4sccc34)CC1)[C@H]1C=C[C@@H]2C1,active,119.0
CHEMBL4292655,O=C1[C@@H]2[C@H](C(=O)N1CCCN1CCN(c3cccc4sccc34)CC1)[C@H]1C=C[C@@H]2C1,active,32.4
CHEMBL4282051,O=C1[C@@H]2[C@H](C(=O)N1CCCCCN1CCN(c3cccc4sccc34)CC1)[C@H]1C=C[C@@H]2C1,active,28.0
CHEMBL4284353,CC1(C)C2C(=O)N(CCCCN3CCN(c4cccc5sccc45)CC3)C(=O)C21,active,8.4
CHEMBL4292254,Cc1ccc(C23CC2C(=O)N(CCCCN2CCN(c4cccc5sccc45)CC2)C3=O)cc1,active,80.6
CHEMBL4291387,O=C1C2CCCC2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,13.0
CHEMBL4283546,O=C1C2CCCCC2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,4.3
CHEMBL4287980,O=C1C2CC=CCC2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,8.5
CHEMBL4280084,O=C1C2CC(O)C(O)CC2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,9.4
CHEMBL4279645,O=C1[C@@H]2[C@@H]3C[C@@H]([C@@H](O)[C@H]3O)[C@@H]2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,14.1
CHEMBL4290309,CC(=O)O[C@@H]1[C@@H]2C[C@H]([C@@H]1OC(C)=O)[C@H]1C(=O)N(CCCCN3CCN(c4cccc5sccc45)CC3)C(=O)[C@@H]21,active,44.6
CHEMBL4294797,O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,131.0
CHEMBL4286905,O=C1c2cccc(F)c2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,38.1
CHEMBL4277751,O=C1c2ccc(F)cc2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,213.0
CHEMBL4288388,O=C1c2cccc(Cl)c2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,30.1
CHEMBL4283369,O=C1c2ccc(Cl)cc2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,543.0
CHEMBL4291215,CC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1,active,7.2
CHEMBL4286717,CCC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1,active,10.9
CHEMBL4294617,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,24.4
CHEMBL4295055,O=C1CC2(CCCCC2)CC(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,active,11.0
CHEMBL4293999,O=C(CCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2c3c(c1)CCN3C(=O)CC2,active,9.02
CHEMBL62,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,active,31.0
CHEMBL4515776,COC(=O)CN(CC(=O)NCCOCCOCCNC(=O)CCC(=O)Nc1ccc(CCN2CN(c3ccccc3)C3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)C2=O)cc1)CC(=O)NCCOCCOCCNC(=O)CCC(=O)Nc1ccc(CCN2CN(c3ccccc3)C3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)C2=O)cc1,active,15.0
CHEMBL4542935,COC(=O)CN(CC(=O)NCCOCCOCCNC(C)=O)CC(=O)NCCOCCOCCNC(=O)CCC(=O)Nc1ccc(CCN2CN(c3ccccc3)C3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)C2=O)cc1,active,280.0
CHEMBL487182,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,active,450.0
CHEMBL2314745,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(O)c3CN1CC2,intermediate,3110.0
CHEMBL2314734,COc1ccc2c(c1OC(C)=O)CN1CCc3cc4c(cc3C1C2)OCO4,active,420.0
CHEMBL2314740,COc1cc(/C=C/C(=O)Oc2c(OC)ccc3c2CN2CCc4cc5c(cc4C2C3)OCO5)ccc1OC(C)=O,intermediate,7960.0
CHEMBL2314747,COc1ccc2c(c1OC)CN1CCc3cc(O)c(O)cc3C1C2,active,40.0
CHEMBL4438471,COc1ccc2c(c1O)CN1CCc3cc(O)c(O)cc3C1C2,active,76.0
CHEMBL4521450,COc1cc2c(cc1O)CC1c3cc(OC)c(OC)cc3CCN1C2,intermediate,2590.0
CHEMBL4561303,COc1cc2c(cc1OC)C1Cc3ccc(O)cc3CN1CC2,intermediate,1530.0
CHEMBL4453330,COc1cc2c(cc1OC)C1Cc3c(cc(O)c(OC)c3OC)CN1CC2,intermediate,8810.0
CHEMBL4551037,COc1cc2c(cc1O)CC1c3cc4c(cc3CCN1C2)OCO4,intermediate,4940.0
CHEMBL4582377,Oc1cccc2c1CC1c3cc4c(cc3CCN1C2)OCO4,active,190.0
CHEMBL4476383,Oc1ccc2c(c1)CN1CCc3cc4c(cc3C1C2)OCO4,active,500.0
CHEMBL4544045,COc1cc2c(c(OC)c1O)CC1c3cc4c(cc3CCN1C2)OCO4,intermediate,1080.0
CHEMBL4435291,c1ccc(COc2cccc3c2CC2c4cc5c(cc4CCN2C3)OCO5)cc1,inactive,10000.0
CHEMBL2314741,COc1ccc2c(c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,inactive,10000.0
CHEMBL2314742,COc1ccc2c(c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CN1CCc3cc4c(cc3[C@H]1C2)OCO4,inactive,10000.0
CHEMBL4528264,COc1cc2c(cc1O)C1Cc3cc(OC)c(OC)cc3CN1CC2,intermediate,3580.0
CHEMBL4585730,COc1cc2c(cc1OC)C1Cc3c(cc(OC)c(O)c3OC)CN1CC2,intermediate,6360.0
CHEMBL62,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,intermediate,2050.0
CHEMBL4467483,COc1ccc2c(c1OC)-c1c(Br)ccc3c1[C@@H](C2)N(C)CC3,active,30.2
CHEMBL4564103,COc1ccc2c(c1OC)-c1c(Br)ccc3c1[C@H](C2)N(C)CC3,active,316.23
CHEMBL4579687,COc1ccc2c(c1OC)-c1ccc(Br)c3c1[C@@H](C2)N(C)CC3,active,44.67
CHEMBL4513262,COc1ccc2c(c1OC)-c1ccc(Br)c3c1[C@H](C2)N(C)CC3,intermediate,1949.84
CHEMBL4439029,CCc1ccc2c3c1CCN(C)[C@@H]3Cc1ccc(OC)c(OC)c1-2,active,28.18
CHEMBL4442011,CCc1ccc2c3c1CCN(C)[C@H]3Cc1ccc(OC)c(OC)c1-2,active,40.74
CHEMBL4589737,COc1ccc2c(c1OC)-c1ccc(C)c3c1[C@@H](C2)N(C)CC3,intermediate,3630.78
CHEMBL8809,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,active,1.82
CHEMBL4467483,COc1ccc2c(c1OC)-c1c(Br)ccc3c1[C@@H](C2)N(C)CC3,active,30.35
CHEMBL4564103,COc1ccc2c(c1OC)-c1c(Br)ccc3c1[C@H](C2)N(C)CC3,active,337.5
CHEMBL4579687,COc1ccc2c(c1OC)-c1ccc(Br)c3c1[C@@H](C2)N(C)CC3,active,45.07
CHEMBL4513262,COc1ccc2c(c1OC)-c1ccc(Br)c3c1[C@H](C2)N(C)CC3,intermediate,1957.0
CHEMBL4439029,CCc1ccc2c3c1CCN(C)[C@@H]3Cc1ccc(OC)c(OC)c1-2,active,28.2
CHEMBL4442011,CCc1ccc2c3c1CCN(C)[C@H]3Cc1ccc(OC)c(OC)c1-2,active,40.77
CHEMBL4589737,COc1ccc2c(c1OC)-c1ccc(C)c3c1[C@@H](C2)N(C)CC3,intermediate,3629.0
